level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
10181,10181,Monte Carlo Masters,Clay,20080420,104745,21.8,103970,6-1 7-5,QF,0,1,52,38,26,7,9,2,4,1,73,68,54
10183,10183,Monte Carlo Masters,Clay,20080420,104745,21.8,103786,6-3 6-2,SF,0,1,54,37,22,12,8,4,5,1,69,59,75
10184,10184,Monte Carlo Masters,Clay,20080420,104745,21.8,103819,7-5 7-5,F,1,2,63,51,32,5,12,1,5,1,81,63,50
10224,10224,Hamburg Masters,Clay,20080511,104745,21.9,103808,6-4 7-6(6),R32,2,2,65,53,37,5,11,0,2,1,82,70,50
10232,10232,Hamburg Masters,Clay,20080511,104745,21.9,104918,6-3 6-2,R16,1,0,43,34,25,6,8,2,3,1,79,74,67
10236,10236,Hamburg Masters,Clay,20080511,104745,21.9,102845,6-1 6-3,QF,0,0,51,41,27,8,8,2,3,1,80,66,80
10238,10238,Hamburg Masters,Clay,20080511,104745,21.9,104925,7-5 2-6 6-2,SF,3,2,110,82,47,14,14,15,19,1,75,57,54
10239,10239,Hamburg Masters,Clay,20080511,104745,21.9,103819,7-5 6-7(3) 6-3,F,3,3,101,77,51,8,17,3,7,1,76,66,38
10394,10394,Canada Masters,Hard,20080721,104745,22.1,105028,6-4 6-2,R32,2,3,67,51,34,8,9,6,7,1,76,67,62
10402,10402,Canada Masters,Hard,20080721,104745,22.1,104214,6-2 7-6(1),R16,4,2,54,42,36,8,10,0,0,1,78,86,80
10406,10406,Canada Masters,Hard,20080721,104745,22.1,104755,6-7(12) 6-2 6-1,QF,0,1,92,71,48,14,14,3,5,1,77,68,70
10408,10408,Canada Masters,Hard,20080721,104745,22.1,104918,7-6(2) 6-3,SF,1,1,84,59,37,17,11,2,3,1,70,63,71
10409,10409,Canada Masters,Hard,20080721,104745,22.1,103017,6-3 6-2,F,2,1,52,34,26,12,8,3,3,1,65,76,71
10449,10449,Cincinnati Masters,Hard,20080728,104745,22.1,103722,6-0 6-1,R32,3,2,37,25,21,7,7,0,0,1,68,84,70
10457,10457,Cincinnati Masters,Hard,20080728,104745,22.1,103163,6-4 7-6(0),R16,8,3,77,49,35,16,11,2,3,1,64,71,64
10461,10461,Cincinnati Masters,Hard,20080728,104745,22.1,102839,7-6(3) 6-1,QF,3,0,63,42,35,13,10,3,3,1,67,83,62
10547,10547,Barcelona,Clay,20080428,104745,21.9,103808,6-4 6-2,R32,2,1,48,35,26,11,9,2,3,1,73,74,92
10563,10563,Barcelona,Clay,20080428,104745,21.9,103852,6-4 6-3,R16,3,1,50,33,26,12,9,0,0,1,66,79,75
10571,10571,Barcelona,Clay,20080428,104745,21.9,103428,6-4 6-2,QF,0,0,51,34,27,6,9,0,1,1,67,79,35
10575,10575,Barcelona,Clay,20080428,104745,21.9,103823,6-1 6-0,SF,3,0,33,23,20,8,7,0,0,1,70,87,80
10577,10577,Barcelona,Clay,20080428,104745,21.9,103970,6-1 4-6 6-1,F,3,3,74,51,32,16,12,5,7,1,69,63,80
10823,10823,Dubai,Hard,20080303,104745,21.7,104259,3-6 6-1 6-4,R32,5,2,89,66,42,12,13,7,10,1,74,64,57
10831,10831,Dubai,Hard,20080303,104745,21.7,104783,6-4 6-0,R16,5,1,41,29,24,9,8,0,0,1,71,83,82
11056,11056,Roland Garros,Clay,20080525,104745,21.9,105064,7-5 6-3 6-1,R128,2,1,90,67,46,14,14,2,4,1,74,69,64
11088,11088,Roland Garros,Clay,20080525,104745,21.9,103534,6-4 6-0 6-1,R64,1,1,74,51,35,15,12,7,8,1,69,69,68
