index,hand,age,ace,df,svpt,svGms,bpSaved,bpFaced,rank,result,1stIn(%),1stWon(%),2ndWon(%)
46502,0,25.1,5,4,57,8,8,8,10,1,47,70,73
46503,1,30.5,4,1,145,17,8,13,21,0,70,62,44
46504,0,25.1,6,8,141,21,9,13,16,1,57,77,54
46505,0,26.8,0,5,52,9,3,5,14,1,54,86,47
46506,0,25.8,16,5,98,15,3,4,18,1,59,81,57
46507,0,24,0,3,63,9,3,3,74,1,68,70,82
46508,0,26.6,11,5,110,18,3,3,57,0,60,79,79
46509,0,22.3,7,0,135,18,8,10,77,1,62,76,61
46510,0,23.1,10,2,50,10,0,1,54,1,48,96,79
46511,0,25.4,5,4,83,14,6,8,3,1,54,76,68
46512,0,26.1,0,4,62,9,6,7,56,1,66,63,82
46513,0,34.2,2,3,94,15,6,10,13,1,60,73,46
46514,0,32.6,0,2,66,11,2,5,96,0,44,62,60
46515,1,30.9,4,1,66,13,0,0,4,1,70,76,89
46516,1,26.9,15,3,57,9,6,6,16,1,47,96,59
46517,0,28.5,7,1,77,10,5,7,8,0,64,67,56
46518,0,26.3,3,7,83,11,10,16,67,0,57,51,55
46519,0,27.2,4,4,74,10,7,11,19,0,70,54,61
46520,0,34.3,1,1,91,14,5,8,67,0,66,72,43
46521,0,20.8,5,4,41,8,1,4,19,1,59,71,62
46522,0,34.7,1,3,62,10,1,4,54,0,45,71,55
46523,0,30.5,1,0,61,10,5,10,85,0,62,58,35
46524,0,34.7,6,4,86,15,2,7,47,0,56,73,47
46525,0,25.8,9,5,79,13,4,6,48,1,47,78,59
46526,1,28.4,8,5,84,14,7,12,83,0,64,67,48
46527,1,24,0,2,87,15,2,5,44,1,64,75,62
46528,0,30.6,18,0,101,15,6,7,25,0,70,79,47
46529,0,30.1,8,6,106,16,5,9,5,1,47,70,54
46530,0,24.5,0,1,55,11,1,2,77,1,71,82,67
46531,0,25.7,4,1,54,10,2,4,28,0,61,79,55
46532,0,27.4,13,6,100,17,3,5,38,1,64,83,50
46533,0,31.1,6,3,102,17,4,4,43,0,46,85,73
46534,0,23.4,1,1,46,8,3,4,49,1,50,87,55
46535,0,25,5,1,61,10,4,7,50,0,61,59,65
46536,0,26.8,8,8,60,10,2,4,21,1,60,86,50
46537,0,24.9,6,1,102,15,8,11,46,0,66,69,41
46538,0,28.6,2,1,42,8,0,0,49,1,67,89,69
46539,1,28.5,6,5,115,19,8,10,16,1,84,71,77
46540,0,29.1,2,2,45,7,1,1,35,1,44,75,70
46541,0,27.4,5,1,83,12,6,9,26,0,46,68,52
46542,0,20.2,4,0,54,8,2,3,79,1,56,67,62
46543,0,30.2,2,3,43,8,0,2,24,1,67,69,82
46544,0,27.1,3,0,54,10,0,1,17,1,65,86,68
46545,0,22.3,3,3,59,9,4,5,8,1,59,74,67
46546,0,30,1,1,14,1,3,4,60,0,71,60,0
46547,0,28.1,4,1,42,9,0,0,12,1,79,91,75
46548,0,26.2,4,2,78,13,2,6,83,1,73,68,42
46549,1,29.5,18,3,52,10,0,0,87,1,50,92,74
46550,0,27.1,4,1,65,9,4,6,27,0,60,64,56
46551,0,23,8,4,65,9,8,13,62,0,62,60,38
46552,1,22.6,6,5,131,17,7,12,129,0,55,67,50
46553,0,24,5,3,81,13,6,12,201,0,65,55,44
