level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
72480,72480,Eastbourne,Grass,20180625,104527,33.2,104918,6-1 6-3,R32,8,4,59,36,19,11,8,4,8,0,61,53,58
72585,72585,Wimbledon,Grass,20180702,104527,33.2,105341,7-6(7) 6-3 7-6(6),R64,17,2,123,76,53,24,17,4,6,0,62,70,53
72864,72864,Washington,Hard,20180730,104527,33.3,105385,6-4 6-7(5) 7-6(3),R64,11,5,98,60,48,24,17,0,1,0,61,80,73
72945,72945,Canada Masters,Hard,20180806,104527,33.3,104745,7-5 7-6(4),R16,6,2,91,49,35,20,12,4,7,0,54,71,50
73001,73001,Cincinnati Masters,Hard,20180813,104527,33.3,103819,6-7(2) 7-6(6) 6-2,QF,3,2,111,60,39,34,16,7,9,0,54,65,69
73157,73157,US Open,Hard,20180827,104527,33.4,105683,7-6(6) 6-4 6-3,R32,6,1,95,60,43,22,17,2,5,0,63,72,65
73281,73281,St. Petersburg,Hard,20180917,104527,33.4,105373,4-6 6-3 7-5,SF,6,0,85,52,37,18,15,1,4,0,61,71,55
73390,73390,Tokyo,Hard,20181001,104527,33.5,133430,4-6 6-1 6-4,R16,8,1,83,43,31,19,13,6,9,0,52,72,49
73414,73414,Shanghai Masters,Hard,20181008,104527,33.5,106432,4-6 6-4 6-3,R64,14,1,80,52,39,17,14,6,8,0,65,75,63
74620,74620,Monte Carlo Masters,Clay,20220411,104527,37,122330,3-6 7-5 6-2,R64,4,0,99,53,33,23,15,6,11,0,54,62,50
74810,74810,Rome Masters,Clay,20220509,104527,37.1,104925,6-2 6-2,R16,1,4,57,24,14,12,8,2,7,0,42,58,41
75009,75009,Queen's Club,Grass,20220613,104527,37.2,126205,6-1 6-4,R16,1,2,53,34,21,10,8,7,10,0,64,62,59
75087,75087,Wimbledon,Grass,20220627,104527,37.2,206173,7-5 4-6 6-3 6-2,R128,10,3,132,64,45,35,19,10,15,0,48,70,54
75224,75224,Bastad,Clay,20220711,104527,37.2,105807,7-5 6-4,R32,10,1,63,30,27,17,11,4,6,0,48,90,53
75506,75506,Canada Masters,Hard,20220808,104527,37.3,200325,6-3 3-6 6-3,R64,7,3,78,44,34,14,13,6,9,0,56,77,45
75569,75569,Cincinnati Masters,Hard,20220815,104527,37.3,104918,7-6(3) 5-7 7-5,R64,11,2,101,59,42,26,18,2,5,0,58,71,65
75653,75653,Us Open,Hard,20220829,104527,37.4,144895,6-4 7-6(7) RET,R128,6,3,81,45,35,15,12,5,7,0,56,78,45
75898,75898,Doha,Hard,20200106,104527,34.7,144895,3-6 7-5 6-3,SF,12,4,93,61,45,17,15,9,11,0,66,74,61
76098,76098,Australian Open,Hard,20200120,104527,34.8,100644,1-6 6-3 6-4 6-2,QF,4,5,105,59,41,24,17,8,13,0,56,69,59
76360,76360,Acapulco,Hard,20200224,104527,34.9,105777,6-4 6-4,QF,3,1,53,32,23,7,10,3,6,0,60,72,35
76688,76688,Rome Masters,Clay,20200914,104527,35.4,207518,6-0 7-6(2),R64,2,0,69,39,23,12,9,3,7,0,57,59,40
76845,76845,Roland Garros,Clay,20200928,104527,35.5,200384,2-6 6-3 6-3 4-6 6-0,R32,7,2,147,84,50,32,21,13,21,0,57,60,52
76926,76926,St Petersburg,Hard,20201012,104527,35.5,133430,6-4 7-5,QF,2,1,76,46,33,12,11,5,8,0,61,72,41
77034,77034,Vienna,Hard,20201026,104527,35.5,106426,6-4 6-7(9) 6-3,R32,9,4,95,51,43,23,15,3,5,0,54,84,57
77040,77040,Paris Masters,Hard,20201102,104527,35.6,100644,6-3 7-6(1),QF,2,1,65,36,23,14,11,0,4,0,55,64,50
77259,77259,Madrid Masters,Hard,20081012,104527,23.5,103852,6-4 6-4,R16,7,1,56,37,28,10,10,1,3,0,66,76,56
77500,77500,Gstaad,Clay,20080707,104527,23.2,103812,6-3 3-6 6-4,SF,6,1,97,61,40,20,14,8,11,0,63,66,57
77653,77653,Basel,Hard,20081020,104527,23.5,103794,3-6 7-6(5) 7-6(5),R32,9,2,107,65,42,26,17,0,4,0,61,65,65
77766,77766,Vienna,Hard,20081006,104527,23.5,104332,6-7(5) 6-2 7-6(5),R32,3,1,111,72,43,19,16,7,14,0,65,60,50
77797,77797,Sydney,Hard,20080107,104527,22.7,104098,6-3 6-3,R32,2,1,54,37,23,7,9,2,6,0,69,62,44
77907,77907,Paris Masters,Hard,20081026,104527,23.5,104607,6-3 7-5,R32,8,3,62,34,26,13,11,0,3,0,55,76,52
78059,78059,Miami Masters,Hard,20080327,104527,22.9,104417,3-6 6-4 6-3,R64,5,3,74,38,29,21,14,0,2,0,51,76,64
78210,78210,Indian Wells Masters,Hard,20080313,104527,22.9,104925,7-6(5) 6-2,QF,1,1,87,53,27,18,10,10,15,0,61,51,55
78249,78249,Monte Carlo Masters,Clay,20080420,104527,23,103990,6-4 7-5,R64,2,2,67,38,20,12,11,3,9,0,57,53,44
