index,surface,age,ace,df,svpt,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
75791,Grass,29.7,2,1,86,13,0,5,0,71,56,50
75792,Grass,26.2,8,7,66,10,2,3,1,61,80,79
75793,Hard,28.7,2,0,50,6,5,6,1,60,73,45
75794,Clay,32.1,1,0,68,10,4,7,0,76,54,62
75795,Hard,25.9,19,7,159,24,5,7,1,58,78,58
75796,Hard,25.4,0,1,69,10,4,7,0,70,56,65
75797,Grass,25.9,7,3,102,14,2,3,1,49,78,53
75798,Grass,24.4,11,1,113,18,4,7,0,64,72,57
75799,Hard,30.7,14,9,53,8,2,2,1,38,100,62
75800,Hard,30.2,3,5,79,10,9,12,0,49,64,60
75801,Grass,27.2,12,1,94,15,5,8,0,71,70,50
75802,Clay,18.9,2,3,72,9,6,11,0,61,52,44
75803,Clay,28,7,2,118,17,8,12,1,53,65,58
75804,Hard,26,6,3,81,11,4,8,0,62,64,43
75805,Hard,22.9,5,3,97,14,6,10,1,57,65,59
75806,Carpet,24.7,3,1,35,5,1,1,1,57,60,79
75807,Hard,30,2,2,48,8,4,8,0,50,58,45
75808,Clay,26.6,0,4,50,9,2,7,0,60,50,62
75809,Hard,27.7,7,1,53,9,6,9,0,64,74,44
75810,Hard,23.4,3,5,80,14,0,2,0,62,78,60
75811,Grass,23.1,4,4,54,9,4,9,0,44,71,35
75812,Clay,27.2,11,1,89,14,3,5,0,58,75,56
75813,Clay,27.7,10,6,104,16,9,13,1,59,79,41
75814,Hard,22.7,9,0,52,9,4,4,1,56,86,57
75815,Clay,22.9,14,2,67,10,2,5,0,57,84,30
75816,Hard,24.1,1,3,60,11,1,5,1,62,68,50
75817,Hard,29.4,1,0,41,8,0,0,1,68,86,62
75818,Hard,32.1,9,1,91,14,4,5,1,48,80,54
75819,Hard,20.3,5,5,103,14,4,7,0,49,72,52
75820,Hard,22.7,4,1,93,14,6,12,0,68,60,34
75821,Hard,19.7,15,6,122,16,3,3,1,61,80,66
75822,Hard,26.1,4,7,105,14,10,14,0,46,79,42
75823,Hard,34.1,4,3,107,15,8,11,0,69,69,47
75824,Hard,30.3,14,5,143,22,7,13,1,58,75,44
75825,Hard,24,7,5,107,15,5,12,1,48,63,53
75826,Clay,31.9,4,2,89,15,3,8,0,75,67,25
75827,Hard,27.2,1,0,50,8,4,7,0,64,66,44
75828,Grass,21.7,14,5,103,15,7,7,1,71,86,36
75829,Hard,24.8,2,4,126,19,7,10,1,69,67,71
75830,Clay,31.3,2,4,108,15,12,17,0,65,53,65
75831,Carpet,24.9,4,2,80,14,0,3,0,56,76,55
75832,Hard,24.3,3,5,57,9,1,4,0,53,63,59
75833,Hard,31.4,19,4,185,28,7,12,1,67,69,54
75834,Hard,27.5,7,2,82,15,0,1,0,78,80,75
75835,Grass,25.1,9,7,87,14,3,5,0,52,80,57
75836,Hard,30.7,5,2,86,16,0,2,1,65,82,54
75837,Hard,34.7,3,5,83,11,5,6,1,65,80,50
75838,Hard,27.9,5,4,58,11,3,4,1,52,77,79
75839,Hard,30.5,9,2,77,11,5,5,1,61,81,54
75840,Hard,26.8,11,3,79,14,5,7,0,51,82,56
75841,Hard,23.3,10,5,114,16,13,19,0,54,62,52
75842,Clay,30.5,5,1,56,10,6,6,1,50,75,81
75843,Clay,32.6,8,4,76,10,12,15,0,53,70,50
75844,Clay,25.9,2,3,107,16,6,12,0,72,61,44
75845,Hard,25.4,12,1,64,9,3,5,0,64,63,50
75846,Hard,33.1,7,7,97,14,12,20,0,41,65,42
75847,Grass,30.4,7,6,116,17,9,16,0,56,65,49
75848,Hard,23.8,1,3,71,11,2,4,0,58,76,48
75849,Clay,28.2,3,0,56,10,1,3,1,70,69,65
75850,Grass,34.7,6,4,65,10,2,4,0,58,68,65
75851,Clay,29.9,3,3,70,10,5,6,1,67,74,50
75852,Grass,24.6,5,0,45,9,0,1,1,67,80,67
75853,Hard,34,5,3,84,14,4,6,1,68,70,71
75854,Hard,28.2,8,4,99,16,6,7,1,59,81,70
75855,Hard,24.2,4,1,104,16,4,6,1,68,70,59
75856,Clay,25.2,7,2,99,14,6,11,1,55,67,42
75857,Hard,23.3,6,2,49,8,3,6,0,57,64,53
75858,Hard,20.1,7,4,62,10,1,3,0,58,64,73
75859,Clay,20.9,1,7,125,17,6,11,0,74,58,65
75860,Hard,31.4,4,5,123,16,7,9,0,56,75,57
75861,Hard,19.7,27,2,101,15,3,3,1,71,81,52
75862,Clay,26.3,11,3,62,11,0,1,1,52,84,74
75863,Clay,28.7,4,4,63,9,2,3,1,57,78,57
75864,Clay,23.1,3,4,53,9,3,5,1,51,74,64
75865,Hard,33.9,6,0,67,11,1,3,1,58,74,54
75866,Hard,26.4,2,4,85,12,3,6,1,52,66,62
75867,Hard,25.4,13,1,70,11,1,3,0,63,70,64
75868,Hard,26.8,4,2,43,9,0,1,1,58,80,75
75869,Hard,30.3,5,3,52,10,1,2,1,54,89,67
75870,Clay,28.9,2,0,49,8,0,0,1,49,83,56
75871,Hard,27.2,6,7,90,14,9,14,0,52,77,50
75872,Hard,35.1,6,5,125,16,11,15,0,52,58,62
75873,Clay,30.4,2,1,86,13,4,7,1,65,70,45
75874,Hard,29,6,2,88,11,5,6,0,57,72,50
75875,Clay,18.8,2,2,45,7,4,4,1,64,83,64
75876,Hard,24.6,0,3,130,19,9,14,0,76,61,64
75877,Hard,20.8,20,2,109,16,3,3,1,67,86,56
75878,Clay,29.5,1,7,66,9,5,11,0,48,59,37
75879,Hard,31.2,3,1,123,17,6,9,1,71,67,54
75880,Hard,25.6,7,2,44,8,1,1,1,48,86,76
75881,Hard,32.1,4,0,53,9,3,7,0,70,59,50
75882,Grass,28.7,5,3,66,10,3,5,1,67,75,42
75883,Hard,26.5,8,2,67,11,3,3,1,73,80,75
75884,Hard,27.8,8,2,45,9,1,2,1,47,90,68
75885,Clay,21.7,12,4,103,14,6,9,0,51,83,41
75886,Clay,28.9,3,2,102,15,6,12,0,55,64,43
75887,Hard,30.2,10,2,63,11,0,1,1,60,87,57
75888,Hard,21.3,3,6,127,21,8,18,0,52,55,49
75889,Clay,20.5,2,3,77,10,3,6,0,53,59,64
75890,Hard,29.4,3,6,83,12,7,14,0,52,60,41
75891,Clay,29.4,0,1,51,7,1,1,1,76,64,82
75892,Hard,31,5,0,34,7,0,0,1,68,91,64
75893,Hard,31,8,4,112,17,3,5,0,53,80,65
75894,Clay,26.5,12,5,128,18,8,15,1,62,72,39
75895,Grass,25.7,4,2,60,10,2,6,0,57,59,58
75896,Hard,20.8,8,9,60,9,0,3,0,50,80,48
75897,Hard,30.4,4,0,76,10,7,8,0,58,75,47
75898,Clay,22.2,14,9,114,16,4,8,0,61,71,50
75899,Hard,28.8,3,0,68,9,5,9,0,65,57,42
75900,Grass,26.2,3,1,75,8,9,9,1,63,64,63
75901,Clay,28.6,3,2,51,10,1,2,1,59,73,84
75902,Hard,28.8,6,1,109,17,1,1,1,69,84,55
75903,Hard,20,3,2,70,10,6,8,0,70,67,63
75904,Hard,28.9,11,5,98,15,8,11,0,60,76,44
75905,Grass,26.1,2,1,86,15,0,2,1,71,77,58
75906,Hard,30.3,2,2,60,10,1,1,1,53,81,65
75907,Clay,37.1,13,3,82,12,2,2,1,63,90,78
75908,Grass,25.7,13,3,191,27,14,18,1,65,74,51
75909,Hard,27.6,1,5,56,10,4,9,0,68,55,69
75910,Clay,26.3,0,1,30,4,2,6,0,43,46,31
75911,Grass,30.6,7,11,60,9,4,7,0,50,73,53
75912,Hard,21.7,21,3,123,18,2,4,1,62,76,57
75913,Clay,20.9,0,1,49,9,1,4,1,59,62,58
75914,Hard,24.8,11,4,83,12,5,9,0,53,80,29
75915,Hard,27.4,2,4,42,7,3,8,0,62,54,33
75916,Grass,24.8,7,3,113,16,6,8,0,62,73,57
75917,Clay,31.4,6,0,48,10,0,2,1,62,70,72
75918,Grass,31.4,6,3,51,8,0,0,1,43,91,58
75919,Hard,30.3,2,4,72,13,1,5,0,71,65,65
75920,Grass,28.3,4,3,63,10,1,4,0,57,61,58
75921,Clay,28.3,3,3,82,12,6,7,1,46,84,59
75922,Clay,19.8,2,1,43,7,4,5,1,58,84,41
75923,Hard,22.5,9,1,102,16,5,9,0,77,68,41
75924,Grass,29.1,2,1,108,16,4,7,0,76,62,64
75925,Clay,28.9,0,12,96,14,5,11,0,44,64,52
75926,Hard,27.5,12,2,59,11,0,0,1,61,92,71
75927,Clay,25.5,2,4,76,10,5,7,1,57,65,62
75928,Hard,24.5,1,1,96,15,9,13,0,62,60,57
75929,Carpet,21.2,14,6,112,14,12,14,1,62,76,53
75930,Carpet,21.7,6,2,56,8,4,5,1,64,83,33
75931,Hard,32.7,2,0,57,10,1,2,1,63,78,57
75932,Grass,25.3,2,2,69,8,6,10,0,57,67,32
75933,Hard,28.6,4,1,62,10,1,2,1,61,66,70
75934,Clay,23.1,8,4,81,14,2,4,1,60,80,71
75935,Carpet,23,6,3,65,10,7,7,1,58,74,71
75936,Clay,25.6,1,1,52,8,3,8,0,44,43,39
75937,Grass,21.3,3,15,73,8,9,13,0,49,69,50
75938,Clay,23.3,0,1,49,8,5,6,1,73,72,58
75939,Hard,20.2,12,1,51,10,0,0,1,65,91,59
75940,Hard,30.4,2,6,96,15,6,10,0,54,69,53
75941,Hard,26.4,2,1,59,10,2,4,0,68,70,61
75942,Clay,24.7,2,2,47,8,0,2,1,66,74,36
75943,Hard,25.5,7,1,67,10,3,5,0,63,62,62
75944,Clay,27.8,1,5,118,15,7,14,0,58,59,43
75945,Clay,27,1,0,52,8,2,3,1,79,76,27
75946,Grass,31.4,3,0,112,14,9,11,0,71,63,55
75947,Carpet,26.8,2,1,48,9,6,11,0,71,53,54
75948,Clay,30.5,4,5,78,9,7,9,0,55,67,50
75949,Carpet,19,12,0,78,15,1,4,1,42,79,62
75950,Hard,24.9,0,1,45,7,2,6,0,58,42,56
75951,Hard,26.5,20,4,111,18,3,4,1,72,78,67
75952,Hard,27.4,7,10,114,16,9,14,0,49,73,50
75953,Grass,21.9,1,6,65,10,4,7,0,54,63,58
75954,Hard,32.9,0,0,46,8,1,4,0,74,59,58
75955,Hard,21.6,4,1,71,11,4,7,0,55,62,52
75956,Clay,26.6,2,2,60,9,3,7,0,58,57,43
75957,Clay,31.3,4,0,105,17,2,6,0,68,63,65
75958,Clay,24,4,7,54,9,6,11,0,52,64,47
75959,Hard,22.6,2,3,57,9,7,11,0,49,64,50
75960,Clay,27.9,2,3,51,9,2,4,1,69,71,69
75961,Hard,19.4,9,4,56,9,5,6,1,54,77,68
75962,Hard,22.5,1,3,80,10,8,9,1,68,65,57
75963,Hard,32,4,6,81,14,3,6,1,51,66,68
75964,Hard,28.2,1,1,46,8,5,10,0,61,46,47
75965,Grass,27.8,6,7,72,10,5,9,0,61,70,48
75966,Clay,28.1,2,1,88,11,7,10,0,56,55,53
75967,Hard,28.1,5,5,91,14,6,9,1,63,60,72
75968,Clay,34.9,6,2,76,13,1,2,1,58,75,67
75969,Hard,26.5,3,3,81,12,2,3,1,58,77,65
75970,Hard,23,5,3,104,14,11,16,0,69,60,55
75971,Hard,23.5,14,4,93,15,6,10,0,45,76,49
75972,Hard,27,5,5,164,24,11,18,0,65,68,46
75973,Hard,30.5,9,2,67,11,1,1,1,61,85,71
75974,Hard,24.9,6,2,65,10,0,0,1,46,93,58
75975,Clay,25,6,0,64,10,5,7,0,42,85,54
75976,Clay,26.6,1,3,60,8,3,8,0,60,58,29
75977,Hard,26.4,1,0,49,9,1,5,0,73,50,69
75978,Hard,24.4,7,3,88,12,10,13,0,70,66,39
75979,Carpet,24.1,3,5,57,10,6,9,0,65,70,47
75980,Hard,25.6,1,3,66,12,0,2,1,56,73,69
75981,Carpet,30.5,3,9,92,15,3,4,1,50,83,68
75982,Clay,20.8,1,1,77,10,6,10,0,48,68,44
75983,Hard,25.2,1,2,64,10,6,8,0,53,82,50
75984,Clay,30,6,0,109,16,5,10,0,75,63,44
75985,Hard,19.2,9,1,67,14,2,2,1,70,91,74
75986,Clay,23.8,9,2,95,12,4,5,1,65,82,48
75987,Clay,28.5,8,7,113,17,5,11,0,52,75,45
75988,Hard,32.4,2,2,45,7,2,4,1,64,66,57
75989,Hard,21.2,9,3,67,13,2,7,0,46,81,45
75990,Hard,27.8,7,2,107,18,5,9,1,70,75,60
75991,Grass,27.5,2,5,87,14,0,3,0,53,70,67
75992,Hard,24.8,0,2,86,11,7,14,0,58,50,47
75993,Hard,19.5,5,1,51,9,4,5,1,53,89,52
75994,Hard,21.2,8,2,62,10,2,3,0,63,77,62
75995,Hard,24.4,5,0,75,11,4,5,1,49,76,58
75996,Hard,21.3,9,2,89,13,6,7,1,63,71,55
75997,Hard,21.4,3,0,45,8,0,0,1,62,79,65
75998,Clay,26.3,0,4,86,13,5,8,1,69,64,52
75999,Hard,27,5,3,127,18,9,13,0,62,63,58
76000,Hard,24.6,4,3,65,9,5,9,0,75,53,54
76001,Hard,32.2,7,5,78,14,1,2,1,58,89,57
76002,Carpet,22.5,6,7,95,13,4,7,1,51,75,48
76003,Hard,21.3,9,4,94,15,5,9,0,64,72,43
76004,Hard,28.1,5,3,79,12,0,1,1,63,80,69
76005,Hard,31.9,22,5,151,25,7,10,1,71,76,51
76006,Hard,33.5,8,1,114,18,4,8,0,64,68,55
76007,Hard,27.1,10,5,78,13,1,5,0,60,72,54
76008,Clay,26.9,1,2,125,17,6,8,1,73,63,69
76009,Hard,29.4,1,7,90,13,7,11,0,60,67,48
76010,Clay,29.2,1,1,53,8,1,4,0,64,59,50
76011,Hard,26.4,7,1,91,11,7,7,1,68,66,68
76012,Clay,33.9,9,7,128,17,3,5,0,56,76,61
76013,Clay,31.2,0,9,63,10,2,7,0,60,61,50
76014,Clay,28.3,3,1,59,9,6,8,1,56,73,52
76015,Hard,26.4,20,3,84,16,3,4,1,64,83,70
76016,Hard,33,0,3,65,10,2,5,0,68,59,50
76017,Grass,26.8,8,10,109,17,3,4,0,59,83,71
76018,Hard,20.3,3,0,52,9,2,3,1,79,73,45
76019,Clay,25.4,2,7,55,8,4,9,0,51,68,30
76020,Hard,27.6,3,1,88,12,5,7,1,57,74,57
76021,Clay,19.8,4,1,91,14,3,6,1,55,76,52
76022,Clay,21.7,11,2,64,11,1,2,1,59,84,67
76023,Hard,22.2,4,5,68,10,2,4,1,51,77,57
76024,Hard,31.3,4,4,89,12,9,12,0,49,68,51
76025,Hard,25.7,10,1,93,14,5,7,1,70,75,52
76026,Clay,24.9,4,6,85,15,5,11,0,55,68,50
76027,Clay,29.7,5,3,86,14,7,12,0,56,65,49
76028,Hard,32,7,3,91,14,5,7,1,60,75,58
76029,Clay,30,8,1,103,15,3,4,1,75,68,60
76030,Clay,26.9,9,2,85,14,3,4,1,71,75,65
76031,Clay,19.8,6,0,56,10,2,4,1,75,67,71
76032,Clay,25.9,0,1,111,15,4,5,1,68,74,62
76033,Grass,27.7,4,2,94,13,7,11,0,64,62,47
76034,Hard,28.9,4,7,58,9,2,6,0,47,67,54
76035,Hard,22.1,1,5,62,8,5,9,0,45,54,59
76036,Clay,22.8,4,1,105,16,8,11,1,66,70,57
76037,Hard,26,8,2,46,9,0,1,1,67,84,62
76038,Hard,36.3,4,0,53,10,2,4,0,66,71,56
76039,Clay,28,2,2,42,7,2,3,1,62,73,71
76040,Grass,20.3,6,0,105,15,7,8,1,69,74,55
76041,Clay,22.3,6,1,144,21,9,15,0,88,60,56
76042,Hard,31.3,2,5,55,9,3,8,0,47,54,58
76043,Hard,27.6,5,1,56,10,2,5,0,57,66,57
76044,Hard,22.4,6,7,132,18,4,8,1,71,73,42
76045,Clay,18.9,3,5,75,11,3,7,0,53,68,60
76046,Carpet,21.9,3,3,93,15,2,4,0,55,78,54
76047,Hard,23,2,0,99,16,5,8,1,64,73,53
76048,Grass,25.4,2,3,92,15,4,4,1,62,75,78
76049,Hard,19.7,1,0,54,9,2,2,1,48,81,57
76050,Hard,27.5,8,3,42,8,1,5,0,52,77,29
76051,Hard,27.3,4,2,50,9,0,2,1,74,65,55
76052,Grass,27.1,8,3,55,10,0,0,1,69,87,71
76053,Clay,33.7,6,1,104,16,3,8,1,59,69,57
76054,Hard,28.5,1,3,65,9,5,6,1,49,72,63
76055,Hard,25.8,13,5,66,14,0,1,1,59,82,91
76056,Hard,29.7,12,1,69,12,0,0,0,74,80,71
76057,Grass,31.1,7,6,77,12,5,6,1,61,74,71
76058,Grass,25.6,9,9,65,9,4,7,0,60,69,53
76059,Hard,36.1,1,7,86,12,8,15,0,57,63,37
76060,Clay,24.9,0,1,45,7,3,9,0,64,34,33
76061,Hard,28.2,5,4,96,16,1,1,1,59,79,66
76062,Grass,28,9,3,48,9,1,4,1,67,75,54
76063,Hard,17,0,4,53,9,2,9,0,45,50,28
76064,Hard,26.9,15,2,106,16,4,7,0,62,73,55
76065,Hard,31.4,3,2,67,11,5,7,1,61,71,54
76066,Hard,26.5,10,5,119,15,7,12,0,66,60,58
76067,Carpet,21.7,8,1,80,11,6,8,0,46,78,48
76068,Clay,31.7,0,1,51,8,3,3,1,65,73,71
76069,Clay,28.2,2,5,95,14,1,6,0,66,62,56
76070,Hard,23.2,2,4,80,11,5,9,1,59,66,48
76071,Grass,19.8,5,2,58,10,3,3,1,64,84,68
76072,Hard,25.1,2,0,49,9,1,2,1,63,81,61
76073,Grass,36,4,1,87,16,3,5,0,45,85,62
76074,Clay,21.7,8,0,36,7,0,0,1,56,90,69
76075,Hard,32,9,7,100,16,2,2,1,50,84,70
76076,Clay,31,3,13,154,23,9,18,0,55,66,52
76077,Hard,24,6,5,72,14,1,6,0,60,67,50
76078,Clay,29.7,5,5,78,14,1,5,1,67,67,48
76079,Hard,25,8,2,55,10,1,1,1,51,82,80
76080,Clay,27.9,3,3,49,8,2,2,1,69,79,67
76081,Hard,25.1,0,4,70,10,5,11,0,61,51,48
76082,Clay,22.9,3,4,61,10,1,2,1,57,86,59
76083,Hard,32,4,7,121,17,11,16,0,55,66,62
76084,Clay,25.4,0,3,92,13,12,19,0,53,59,38
76085,Hard,30.6,1,3,110,18,2,10,0,64,66,41
76086,Hard,26.3,3,5,86,12,5,11,0,64,51,54
76087,Hard,20.8,3,4,47,8,3,8,0,57,48,44
76088,Hard,24.8,12,3,89,15,5,7,1,48,86,56
76089,Hard,24.4,18,3,79,11,5,6,1,68,78,59
76090,Grass,25.1,22,4,137,18,6,6,0,67,77,59
76091,Hard,22.8,11,2,64,11,6,9,1,55,83,56
76092,Hard,32.2,2,4,77,13,5,10,0,51,64,53
76093,Hard,27,3,2,69,10,5,14,0,57,36,43
76094,Clay,20.7,0,1,93,14,6,11,0,72,55,68
76095,Clay,29.8,4,3,58,11,3,5,1,60,83,55
76096,Clay,26.3,3,3,84,14,3,8,1,74,69,32
76097,Grass,30.4,4,7,153,24,4,6,1,57,75,64
76098,Grass,19,11,5,132,25,5,8,0,65,81,61
76099,Hard,31.4,5,3,136,21,8,14,0,63,62,62
76100,Hard,29.2,10,5,95,14,3,7,0,59,75,47
76101,Grass,28.4,18,0,132,18,11,15,1,71,71,50
76102,Hard,21.6,5,0,104,15,6,7,1,55,74,57
76103,Hard,23.4,43,7,185,27,10,13,0,66,75,57
76104,Grass,33.4,11,11,160,24,6,12,1,51,73,61
76105,Grass,20.1,2,11,123,18,8,13,0,71,68,52
76106,Clay,31,3,1,100,15,3,7,0,65,60,62
76107,Clay,24.3,2,3,59,8,7,12,0,59,63,19
76108,Hard,25.4,14,0,44,9,2,2,1,77,85,80
76109,Carpet,26.6,3,1,45,8,1,2,1,53,83,55
76110,Hard,32.6,3,4,77,11,6,9,0,45,63,58
76111,Grass,24.1,8,2,91,14,3,8,0,57,71,46
76112,Hard,30.3,14,6,130,18,10,14,1,62,66,59
76113,Clay,25.6,3,1,64,8,10,11,1,48,61,66
76114,Hard,21.2,3,4,53,9,4,8,0,66,63,43
76115,Hard,24.2,5,1,49,8,4,8,0,49,58,46
76116,Hard,26.3,4,3,75,13,3,6,0,56,79,57
76117,Clay,27.3,1,5,103,16,6,9,0,58,73,58
76118,Clay,28.8,6,0,67,13,0,0,1,52,86,72
76119,Clay,31.1,2,3,62,9,6,11,0,52,56,52
76120,Clay,23,3,3,48,8,5,9,0,50,62,48
76121,Hard,22.8,0,3,48,7,2,3,0,65,74,50
76122,Clay,25.4,3,2,94,13,8,11,0,64,62,62
76123,Grass,29.1,1,2,76,10,6,13,0,59,42,41
76124,Hard,20.2,5,1,74,11,1,3,0,50,65,64
76125,Hard,27.9,5,0,72,11,4,5,1,57,80,58
76126,Hard,20.5,6,4,93,11,10,14,0,52,60,49
76127,Hard,22.4,10,2,106,16,3,6,1,49,73,62
76128,Hard,26,4,3,122,15,12,16,0,50,72,45
76129,Hard,27.7,13,0,58,10,4,4,1,72,76,75
76130,Clay,36.1,5,9,187,27,5,12,0,68,60,63
76131,Clay,30.3,2,3,89,14,4,6,1,80,66,80
76132,Clay,27.5,3,2,113,16,11,14,0,77,71,42
76133,Hard,26.5,6,6,89,14,4,9,1,55,65,53
76134,Clay,22.2,4,3,77,11,8,11,0,64,63,60
76135,Carpet,25.2,4,1,54,10,4,8,0,61,73,45
76136,Hard,27.9,3,4,74,13,6,11,1,55,63,55
76137,Clay,23.9,4,0,111,17,1,2,1,73,73,57
76138,Clay,26.7,2,4,73,9,6,9,0,48,74,47
76139,Hard,29.5,2,4,95,14,8,10,0,67,69,67
76140,Carpet,22.9,10,2,53,8,1,4,0,51,78,29
76141,Hard,25.6,7,6,77,9,9,13,0,57,64,44
76142,Grass,32,5,1,69,10,7,10,0,81,62,50
76143,Carpet,26.9,6,3,47,8,3,6,0,53,72,42
76144,Hard,29.1,1,4,88,16,1,7,0,61,61,60
76145,Clay,30.6,10,3,92,14,5,8,0,50,78,44
76146,Clay,29.9,2,3,45,9,0,2,1,73,67,78
76147,Hard,30.6,5,1,96,15,2,7,0,48,72,49
76148,Grass,27.8,6,0,59,10,0,0,1,68,82,63
76149,Clay,18.9,1,4,90,14,6,12,0,46,63,47
76150,Hard,25,7,1,77,14,0,2,1,68,77,54
76151,Hard,27.3,5,5,84,14,1,5,0,64,67,52
76152,Hard,23.9,10,2,95,15,3,6,0,56,79,48
76153,Carpet,27.1,16,1,63,11,0,0,1,71,80,76
76154,Hard,22.9,2,0,73,11,6,11,0,47,65,44
76155,Hard,31.7,4,3,98,17,1,3,1,52,76,64
76156,Hard,29.2,0,3,46,9,1,2,1,50,78,75
76157,Grass,25,9,4,121,15,8,10,0,54,69,60
76158,Hard,26.1,18,7,113,17,5,8,1,55,79,61
76159,Hard,21.6,7,0,39,8,0,0,1,67,88,69
76160,Clay,20.5,12,5,72,11,4,7,0,56,68,59
76161,Hard,29.8,4,3,51,9,0,2,0,61,71,59
76162,Clay,25.3,5,1,52,9,2,2,1,56,83,64
76163,Hard,20.2,4,3,53,10,0,2,1,45,88,54
76164,Grass,21.1,15,6,187,25,15,18,1,55,76,55
76165,Hard,26,17,5,104,16,3,3,1,53,84,64
76166,Hard,23.7,2,2,77,12,6,9,1,58,71,53
76167,Hard,20.6,6,2,61,11,1,3,1,52,62,70
76168,Grass,28.4,4,9,79,14,2,4,0,61,81,59
76169,Hard,23,17,1,109,18,4,6,1,58,81,60
76170,Clay,21.9,8,4,72,11,1,2,1,56,78,64
76171,Hard,22,1,2,47,7,4,5,1,43,90,52
76172,Grass,21,8,6,99,15,5,6,1,57,80,57
76173,Carpet,18,4,4,97,16,8,11,0,71,68,71
76174,Grass,23.7,7,2,72,13,6,11,0,64,76,38
76175,Grass,31.4,9,0,54,9,1,1,1,56,80,62
76176,Hard,28.4,8,2,97,15,3,4,1,54,79,63
76177,Hard,23.4,12,2,87,16,4,8,0,77,79,33
76178,Clay,26.6,3,6,61,11,3,7,0,66,60,60
76179,Clay,26.5,3,5,91,13,6,11,0,63,56,62
76180,Hard,25.5,12,9,166,22,13,23,0,48,67,41
76181,Hard,23.7,15,2,91,16,5,7,0,75,75,76
76182,Clay,28.1,1,2,99,13,6,8,1,68,73,37
76183,Clay,27.7,2,3,59,10,5,9,0,44,58,67
76184,Clay,21.8,5,3,138,16,16,19,0,62,62,51
76185,Clay,23.1,0,0,54,9,5,10,0,67,58,33
76186,Clay,20.1,5,2,58,10,0,0,1,67,79,65
76187,Clay,29.8,2,4,59,9,9,14,0,53,58,33
76188,Clay,20.7,3,3,63,9,4,6,1,62,67,62
76189,Clay,21.5,3,2,45,9,3,4,1,62,89,67
76190,Hard,23.6,7,2,105,15,8,10,0,68,70,69
76191,Hard,28.6,4,1,119,16,10,15,0,54,58,56
76192,Hard,26.2,0,2,53,10,3,7,0,79,60,78
76193,Hard,36.6,5,9,80,9,14,17,0,39,74,50
76194,Grass,30.8,7,2,88,14,6,10,0,59,65,56
76195,Hard,23.8,18,6,146,24,12,18,1,51,76,57
76196,Grass,32.1,25,0,83,16,0,0,1,77,91,58
76197,Hard,20.4,11,5,82,13,7,11,1,61,74,44
76198,Hard,24.7,0,0,45,8,2,2,1,76,82,64
76199,Hard,31.2,2,3,59,7,5,9,0,47,68,32
76200,Hard,27.4,3,5,87,10,12,13,0,45,74,53
76201,Hard,24.1,4,2,51,9,1,5,0,45,70,46
76202,Carpet,26.2,13,3,111,16,6,8,0,77,72,48
76203,Grass,24.1,5,6,89,15,7,11,0,57,75,66
76204,Hard,27.3,12,1,53,10,5,5,1,66,89,65
76205,Hard,28.7,0,2,46,8,3,4,1,76,69,67
76206,Grass,32.7,20,5,116,18,6,7,1,59,86,64
76207,Clay,33.1,8,4,117,15,4,8,1,61,79,33
76208,Grass,33.6,2,2,60,9,7,9,0,52,71,52
76209,Hard,21.5,14,2,68,11,0,0,1,53,81,77
76210,Hard,28.2,1,3,56,10,5,13,0,68,45,20
76211,Hard,23.7,2,1,51,9,3,5,1,59,77,60
76212,Grass,28.1,12,1,74,12,1,2,1,78,83,47
76213,Clay,28,1,2,52,8,5,5,1,62,75,67
76214,Grass,19,12,3,108,15,5,10,0,56,65,44
76215,Hard,30.5,13,9,137,20,12,18,1,53,71,55
76216,Hard,22.4,13,3,39,6,0,0,0,64,80,73
76217,Hard,24.6,9,2,63,11,3,3,1,62,85,86
76218,Clay,20.1,7,3,43,9,0,1,1,53,87,71
76219,Hard,20.8,4,5,48,8,1,1,1,35,94,69
76220,Hard,31.2,6,2,87,16,5,7,1,57,80,69
76221,Hard,21.8,6,1,114,18,1,3,0,61,78,57
76222,Clay,25.9,12,3,61,11,1,1,1,56,88,83
76223,Grass,31.8,0,2,42,6,1,4,0,74,48,44
76224,Hard,26.6,8,0,49,9,4,7,0,69,71,53
76225,Hard,29.5,6,4,94,12,6,8,0,64,65,63
76226,Clay,21.1,11,0,52,11,0,0,1,60,87,81
76227,Hard,29.6,10,1,74,12,4,5,0,57,81,58
76228,Clay,31.8,0,0,80,11,6,10,0,60,58,44
76229,Clay,25.2,4,4,47,8,0,5,0,60,54,40
76230,Clay,27.6,5,0,56,10,4,5,1,55,81,56
76231,Hard,28.9,5,3,109,17,7,8,1,65,73,66
76232,Hard,25.7,5,2,60,9,1,2,1,67,70,61
76233,Hard,25.5,10,3,65,11,1,3,0,69,78,47
76234,Hard,37,11,4,77,10,3,6,0,58,67,54
76235,Clay,26.5,2,3,89,12,10,16,0,58,67,29
76236,Carpet,21.8,23,4,124,17,3,4,0,68,77,64
76237,Hard,26.7,10,6,71,9,6,7,1,62,77,57
76238,Hard,26.6,10,5,91,11,9,11,0,71,66,52
76239,Hard,27,5,5,108,14,9,13,0,61,73,41
76240,Clay,22.8,3,3,49,9,1,5,0,67,61,54
76241,Hard,23.2,8,0,78,14,1,2,1,54,83,67
76242,Hard,26.7,15,10,187,24,15,18,0,60,64,69
