index,surface,age,ace,df,svpt,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
59683,Clay,24.3,6,1,50,9,4,4,1,70,83,64
59684,Clay,31.1,1,0,89,15,8,10,1,67,73,62
59685,Hard,28.3,13,3,59,9,3,3,1,58,97,41
59686,Hard,24.7,3,2,56,9,0,2,1,57,78,45
59687,Hard,30.5,4,2,44,8,2,2,1,52,91,63
59688,Grass,23.7,28,4,163,27,4,6,1,60,82,63
59689,Hard,23.1,4,4,169,25,9,17,0,58,65,54
59690,Hard,27.6,2,0,56,9,4,6,0,61,59,64
59691,Hard,30.7,14,7,86,14,9,11,0,64,78,62
59692,Grass,22,9,5,97,15,7,8,0,61,83,67
59693,Hard,27.1,10,4,64,10,0,2,1,55,69,64
59694,Hard,27.3,8,1,31,6,0,0,1,65,90,60
59695,Clay,26.3,5,5,64,9,4,9,0,44,61,48
59696,Hard,23.1,0,2,120,16,6,8,1,65,69,60
59697,Clay,26.6,1,2,75,10,7,12,0,60,58,50
59698,Grass,27.6,5,1,55,10,0,2,1,58,78,55
59699,Hard,28.8,1,1,41,7,3,9,0,46,68,10
59700,Clay,27.7,3,1,73,13,1,5,0,58,69,57
59701,Hard,28.3,2,3,62,11,4,6,0,55,74,68
59702,Hard,30.7,12,3,75,12,1,1,1,60,84,63
59703,Hard,31.6,1,7,102,16,10,15,0,55,66,54
59704,Grass,30.2,12,7,101,15,8,9,0,55,73,71
59705,Clay,24.4,3,3,162,25,4,7,1,72,68,60
59706,Hard,21.4,8,2,78,14,3,3,1,68,79,65
59707,Hard,20,12,3,74,12,2,4,1,61,73,62
59708,Hard,23.2,4,2,55,9,3,3,1,45,88,61
59709,Grass,25.7,20,6,121,16,5,5,1,61,91,54
59710,Carpet,20.4,6,3,76,11,1,2,1,66,80,52
59711,Hard,23.9,4,2,92,15,1,6,0,53,73,41
59712,Grass,31.9,2,1,74,12,0,0,0,68,72,78
59713,Hard,26.3,0,2,48,7,5,10,0,71,47,33
59714,Hard,21.1,4,1,67,11,2,3,1,54,89,63
59715,Hard,23.9,13,12,120,19,6,11,1,52,71,58
59716,Hard,22.5,14,6,100,16,2,3,1,64,80,67
59717,Hard,28.4,3,1,49,9,2,4,0,53,77,59
59718,Hard,26.9,19,1,72,12,2,2,0,71,78,80
59719,Hard,26,0,5,54,8,3,7,0,63,62,40
59720,Hard,22.4,4,4,126,20,2,5,1,63,72,69
59721,Hard,25.1,3,6,48,8,6,11,0,52,48,59
59722,Hard,26.4,3,4,59,10,2,4,0,53,65,79
59723,Hard,26.9,6,0,46,9,0,0,1,52,79,77
59724,Hard,28.5,0,2,63,8,4,8,0,59,51,46
59725,Hard,26.4,14,7,162,23,9,16,0,55,69,47
59726,Carpet,24.7,9,5,98,14,7,9,1,50,76,59
59727,Grass,21.7,24,3,106,15,6,7,1,58,79,49
59728,Hard,26.1,0,5,70,9,4,8,0,50,63,50
59729,Clay,28.3,3,5,82,11,3,7,0,54,61,48
59730,Hard,24.8,3,0,62,10,2,2,1,55,79,61
59731,Hard,31.9,8,9,127,17,12,13,0,59,77,70
59732,Hard,23,7,6,109,15,4,8,0,62,60,69
59733,Hard,22.5,4,2,88,14,3,5,0,68,72,62
59734,Hard,31.1,3,2,60,9,3,4,1,53,78,58
59735,Grass,27.6,3,0,63,10,2,4,0,78,69,43
59736,Clay,24.2,2,4,89,15,4,8,1,48,72,57
59737,Clay,28.7,4,0,84,14,4,6,1,71,67,62
59738,Clay,28.1,0,1,48,9,1,2,1,79,76,67
59739,Hard,24.2,1,1,68,9,4,8,0,62,62,40
59740,Hard,24.9,5,4,46,8,1,1,1,50,83,74
59741,Hard,23.6,4,3,63,10,2,4,1,54,74,69
59742,Hard,30.4,5,3,89,16,0,0,1,69,85,72
59743,Clay,30.7,7,2,83,13,5,10,0,67,64,44
