level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
10993,10993,Roland Garros,Clay,20080525,103819,26.7,105023,6-4 6-4 6-3,R128,5,1,79,53,42,14,14,1,2,1,67,79,56
11057,11057,Roland Garros,Clay,20080525,103819,26.7,103656,6-7(5) 6-1 6-0 6-4,R64,13,1,110,76,65,18,18,6,6,1,69,86,55
11089,11089,Roland Garros,Clay,20080525,103819,26.7,104339,6-3 6-4 6-2,R32,8,1,71,45,36,20,14,2,3,1,63,80,80
11105,11105,Roland Garros,Clay,20080525,103819,26.7,103898,6-4 7-5 7-5,R16,6,3,98,52,40,26,17,7,10,1,53,77,60
11113,11113,Roland Garros,Clay,20080525,103819,26.7,103602,2-6 6-2 6-3 6-4,QF,11,0,96,62,44,24,18,3,6,1,65,71,71
11117,11117,Roland Garros,Clay,20080525,103819,26.7,104792,6-2 5-7 6-3 7-5,SF,2,1,136,97,67,20,20,10,13,1,71,69,53
11151,11151,Wimbledon,Grass,20080623,103819,26.8,103103,6-3 6-2 6-2,R128,10,0,78,54,42,15,13,0,0,1,69,78,62
11215,11215,Wimbledon,Grass,20080623,103819,26.8,104417,6-3 6-4 7-6(3),R64,15,0,96,58,47,22,16,3,4,1,60,81,58
11247,11247,Wimbledon,Grass,20080623,103819,26.8,102967,6-3 6-3 6-1,R32,10,1,68,49,41,11,13,2,3,1,72,84,61
11263,11263,Wimbledon,Grass,20080623,103819,26.8,103720,7-6(7) 6-2 6-4,R16,21,3,98,60,51,20,15,8,8,1,61,85,57
11271,11271,Wimbledon,Grass,20080623,103819,26.8,104339,6-1 7-5 6-4,QF,15,0,71,49,43,18,15,0,0,1,69,88,82
11275,11275,Wimbledon,Grass,20080623,103819,26.8,103498,6-3 7-6(3) 6-4,SF,15,0,90,60,46,24,16,2,2,1,67,77,80
11341,11341,US Open,Hard,20080825,103819,27,104216,6-3 6-0 6-3,R128,14,1,76,57,42,10,12,6,7,1,75,74,56
11373,11373,US Open,Hard,20080825,103819,27,103999,6-3 7-5 6-4,R64,19,2,95,61,49,19,16,2,3,1,64,80,59
11389,11389,US Open,Hard,20080825,103819,27,103285,6-3 6-3 6-2,R32,12,3,76,55,41,14,13,1,2,1,72,75,78
11397,11397,US Open,Hard,20080825,103819,27,104214,6-7(5) 7-6(5) 6-3 3-6 6-3,R16,10,5,168,114,86,31,26,13,15,1,68,75,63
11401,11401,US Open,Hard,20080825,103819,27,104180,7-6(5) 6-4 7-6(5),QF,8,0,103,63,54,26,17,2,2,1,61,86,65
11403,11403,US Open,Hard,20080825,103819,27,104925,6-3 5-7 7-5 6-2,SF,20,1,125,80,61,27,21,2,4,1,64,76,61
11404,11404,US Open,Hard,20080825,103819,27,104918,6-2 7-5 6-2,F,3,0,81,47,37,16,14,3,5,1,58,79,47
11466,11466,Australian Open,Hard,20080114,103819,26.4,103701,6-0 6-3 6-0,R128,11,1,65,50,42,7,11,2,2,1,77,84,50
11530,11530,Australian Open,Hard,20080114,103819,26.4,102148,6-1 6-2 6-0,R64,6,1,61,42,32,15,11,2,2,1,69,76,83
11562,11562,Australian Open,Hard,20080114,103819,26.4,104386,6-7(5) 7-6(1) 5-7 6-1 10-8,R32,39,1,167,107,95,33,31,0,3,1,64,89,56
11578,11578,Australian Open,Hard,20080114,103819,26.4,104607,6-4 7-6(7) 6-3,R16,11,1,94,59,44,26,16,2,3,1,63,75,76
11586,11586,Australian Open,Hard,20080114,103819,26.4,103484,7-5 7-6(5) 6-4,QF,13,0,96,65,49,18,17,0,3,1,68,75,58
11607,11607,Masters Cup,Hard,20081109,103819,27.2,103285,7-6(4) 6-4,RR,6,1,74,47,32,16,11,1,3,1,64,68,62
11811,11811,Beijing Olympics,Hard,20080811,103819,27,104098,6-4 6-2,R64,5,0,52,32,28,12,9,2,2,1,62,88,60
11843,11843,Beijing Olympics,Hard,20080811,103819,27,104763,6-2 6-4,R32,7,0,47,27,21,16,9,1,1,1,57,78,80
11859,11859,Beijing Olympics,Hard,20080811,103819,27,104607,6-3 7-6(4),R16,11,3,61,37,32,12,11,1,3,1,61,86,57
